UserID,F,NR,value
3675482299,0,11,11
3675701174,0,11,11
546056865,0,11,11
2335816280,0,11,11
715571516,0,11,11
25274270,4,7,11
18220818,5,6,11
280082481,6,5,11
2272016009,11,0,11
493371884,0,11,11
54747537,5,6,11
954804223,0,11,11
1173647377,0,11,11
1360607562,0,11,11
132243158,0,11,11
48654466,10,1,11
23180169,3,8,11
1669156675,0,11,11
3279189992,0,11,11
55476641,0,11,11
1117192483,0,11,11
603195118,0,11,11
3366959411,0,11,11
2695511351,0,11,11
1378409329,0,11,11
3293736557,0,11,11
4776421453,0,11,11
58869220,8,3,11
3698603481,0,11,11
763111657,0,11,11
31223236,0,11,11
289838743,0,11,11
406020629,0,11,11
251009806,0,11,11
2732739068,0,11,11
20441173,0,11,11
2575830003,0,11,11
113647797,5,6,11
2316129812,0,11,11
158606514,0,11,11
2365305244,9,2,11
109658145,1,10,11
495602226,0,11,11
339127929,0,11,11
460577661,9,2,11
49800332,4,7,11
3141533897,0,11,11
36314329,1,10,11
367146488,11,0,11
4256650689,0,11,11
194619305,11,0,11
198553539,2,9,11
1268356501,0,11,11
293486411,0,11,11
2597920868,0,11,11
346423848,0,11,11
2487365864,0,11,11
1598812760,4,7,11
36631460,10,1,11
731019727,0,11,11
254340945,0,11,11
4281570916,0,11,11
768588614,4,7,11
920277535,7,4,11
228134082,11,0,11
564678676,0,11,11
3365553357,0,11,11
876959605,0,11,11
50440593,2,9,11
176852351,1,10,11
2784815647,0,11,11
242258544,0,11,11
1144637358,0,11,11
3186961866,0,11,11
1672962440,0,11,11
957832087,1,10,11
154341539,0,11,11
3219423716,0,11,11
1623253255,11,0,11
1069780836,0,11,11
3684977294,0,11,11
1713914143,0,11,11
15982292,11,0,11
105857751,0,11,11
718336151,0,11,11
27389866,0,11,11
3854798307,0,11,11
3315421760,0,11,11
458768756,0,11,11
32920372,1,10,11
271395754,0,11,11
1255395978,11,0,11
368247423,11,0,11
1096721713,0,11,11
516611443,0,11,11
200599429,10,1,11
2883756619,0,11,11
2649411710,0,11,11
144606027,0,11,11
1568764855,0,11,11
2535958714,11,0,11
4509421055,0,11,11
144236551,11,0,11
83515549,0,11,11
18190546,0,11,11
16411851,11,0,11
205163768,0,11,11
1049586888,0,11,11
3248274452,0,12,12
4504470440,0,12,12
3034429802,0,12,12
1920598429,0,12,12
3428628063,0,12,12
3546431062,0,12,12
1592055570,0,12,12
2376768615,3,9,12
3139320606,0,12,12
7.55E+17,0,12,12
2900139381,0,12,12
1375526088,4,8,12
23026561,2,10,12
103608282,0,12,12
2484982652,12,0,12
4615978780,0,12,12
3081579080,0,12,12
3250296265,0,12,12
28962897,0,12,12
1918027333,0,12,12
1463173946,0,12,12
183283202,0,12,12
787774580,6,6,12
500240347,0,12,12
174850527,2,10,12
165477824,1,11,12
187122482,3,9,12
390704970,0,12,12
3899337568,0,12,12
618058898,0,12,12
153405466,0,12,12
318672234,0,12,12
2175037004,0,12,12
2896818246,0,12,12
82697469,0,12,12
4765155084,0,12,12
22926853,2,10,12
4550502502,0,12,12
2991036844,0,12,12
19461153,0,12,12
818796252,0,12,12
427402721,1,11,12
488278191,0,12,12
7.52E+17,0,12,12
503794853,4,8,12
2661682980,7,5,12
197987846,0,12,12
890302164,12,0,12
2290780148,0,12,12
150627581,12,0,12
7.46E+17,0,12,12
3057759609,0,12,12
2684722843,0,12,12
58056474,0,12,12
1938077630,0,12,12
2564289443,0,12,12
2427208379,12,0,12
117800745,1,11,12
35398088,0,12,12
61735353,1,11,12
819731072,12,0,12
190513568,0,12,12
263504882,0,12,12
4218318442,0,12,12
47891193,0,12,12
2908321510,0,12,12
3011598397,0,12,12
31370199,0,12,12
296674343,1,11,12
256272084,12,0,12
178527524,12,0,12
75214248,0,12,12
2449501326,0,12,12
3418881322,0,12,12
2504624659,0,13,13
74386762,0,13,13
2421228369,0,13,13
350545629,1,12,13
3023309373,0,13,13
23153001,0,13,13
315161628,1,12,13
35345432,0,13,13
2696789261,0,13,13
22394806,1,12,13
812079846,9,4,13
2800713853,0,13,13
119436853,0,13,13
122061226,0,13,13
199056422,3,10,13
385059786,0,13,13
51259550,1,12,13
239510568,1,12,13
2698633711,0,13,13
3302072087,0,13,13
1091104740,7,6,13
3351357045,0,13,13
314157950,0,13,13
4226200334,0,13,13
18644313,1,12,13
1466329350,7,6,13
158722780,0,13,13
994383073,0,13,13
